method,scenario,horizon,baseline_eal_rate,future_eal_rate_limit,cells_exceeding_limit,share_exceeding_limit
soft_log_t2_c10,ssp2-4.5,2100,0.1,0.5,16,0.001336898395721925
soft_log_t2_c10,ssp2-4.5,2100,0.1,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.001,0.1,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.001,0.5,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.001,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.005,0.1,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.005,0.5,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.005,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.01,0.1,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.01,0.5,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.01,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.02,0.1,12,0.001002673796791444
soft_log_t2_c10,ssp5-8.5,2100,0.02,0.5,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.02,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.05,0.1,89,0.007436497326203209
soft_log_t2_c10,ssp5-8.5,2100,0.05,0.5,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.05,1.0,0,0.0
soft_log_t2_c10,ssp5-8.5,2100,0.1,0.1,6557,0.5478776737967914
soft_log_t2_c10,ssp5-8.5,2100,0.1,0.5,12,0.001002673796791444
soft_log_t2_c10,ssp5-8.5,2100,0.1,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.001,0.1,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.001,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.001,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.005,0.1,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.005,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.005,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.01,0.1,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.01,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.01,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.02,0.1,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.02,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.02,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.05,0.1,43,0.003592914438502674
soft_log_t3_c5,ssp2-4.5,2100,0.05,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.05,1.0,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.1,0.1,5029,0.4202038770053476
soft_log_t3_c5,ssp2-4.5,2100,0.1,0.5,0,0.0
soft_log_t3_c5,ssp2-4.5,2100,0.1,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.001,0.1,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.001,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.001,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.005,0.1,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.005,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.005,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.01,0.1,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.01,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.01,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.02,0.1,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.02,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.02,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.05,0.1,89,0.007436497326203209
soft_log_t3_c5,ssp5-8.5,2100,0.05,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.05,1.0,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.1,0.1,6557,0.5478776737967914
soft_log_t3_c5,ssp5-8.5,2100,0.1,0.5,0,0.0
soft_log_t3_c5,ssp5-8.5,2100,0.1,1.0,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.001,0.1,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.001,0.5,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.001,1.0,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.005,0.1,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.005,0.5,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.005,1.0,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.01,0.1,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.01,0.5,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.01,1.0,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.02,0.1,19,0.0015875668449197862
soft_log_t3_c10,ssp2-4.5,2100,0.02,0.5,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.02,1.0,0,0.0
soft_log_t3_c10,ssp2-4.5,2100,0.05,0.1,43,0.003592914438502674
