method,scenario,horizon,minimum,median,p90,p95,p99,p99_5,p99_9,maximum,above_2,above_5,above_10,below_0_5
soft_log_t2_c5,ssp5-8.5,2040,0.21089570145274483,1.0,1.048722305077382,1.0714285714285714,1.2311686694516952,1.3333333333333335,2.0,2.221722246920662,3,0,0,1
soft_log_t2_c5,ssp5-8.5,2045,0.21089570145274483,1.0,1.0666666666666667,1.096105876851441,1.3333333333333333,1.5091666666666141,2.0,2.927263144816839,4,0,0,1
soft_log_t2_c5,ssp5-8.5,2050,0.21089570145274483,1.0,1.0851266067487912,1.1235098297287043,1.3789210390660696,2.0,2.0,3.591791085063923,5,0,0,1
soft_log_t2_c5,ssp5-8.5,2055,0.21089570145274483,1.0,1.1052631578947367,1.1498880452488207,1.5,2.0,2.0,4.741680333508689,11,0,0,1
soft_log_t2_c5,ssp5-8.5,2060,0.21089570145274483,1.0,1.1253281575080591,1.1753465725821493,1.5,2.0,2.1234617905832516,4.9752990863833695,14,0,0,1
soft_log_t2_c5,ssp5-8.5,2065,0.21089570145274483,1.0,1.1493183022359985,1.2,1.9256357373285882,2.0,2.489250447995305,4.993812412072843,19,0,0,1
soft_log_t2_c5,ssp5-8.5,2070,0.2024051164934144,1.0001,1.1761420114045913,1.2316195341365446,2.0,2.0,2.4999469441434763,4.997743998767507,27,0,0,1
soft_log_t2_c5,ssp5-8.5,2075,0.20147810254470716,1.0005360016025124,1.2011546488147375,1.2622536669593665,2.0,2.0,2.8112545970951563,4.9988656078669,32,0,0,1
soft_log_t2_c5,ssp5-8.5,2080,0.20147810254470716,1.0013268592241675,1.2298884851865601,1.3174603174603174,2.0,2.0,3.1763201214750727,4.999357201266901,40,0,0,1
soft_log_t2_c5,ssp5-8.5,2085,0.20078898527284858,1.0028323999630349,1.251872099250832,1.3418806161745827,2.0,2.0,3.5963816501104957,4.999605023964779,49,0,0,2
soft_log_t2_c5,ssp5-8.5,2090,0.20078898527284858,1.0053232680934125,1.2871053109568538,1.4248118252249236,2.0,2.0,3.9287049564214946,4.999734690645823,58,0,0,2
soft_log_t2_c5,ssp5-8.5,2095,0.20078898527284858,1.007957144175093,1.32783,1.5,2.0,2.2159393244111962,4.087873831651753,4.999810489273364,67,0,0,2
soft_log_t2_c5,ssp5-8.5,2100,0.20078898527284858,1.0124219929652487,1.3501094890510952,1.5,2.0,2.489250447995305,4.213784690015164,4.999861568368849,89,0,0,2
soft_log_t2_c10,ssp2-4.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
soft_log_t2_c10,ssp2-4.5,2030,0.8571428571428572,1.0,1.0069041298502477,1.0099846390168972,1.0295689417976899,1.0588993296999307,1.3333333333333333,2.0,0,0,0,0
soft_log_t2_c10,ssp2-4.5,2035,0.8571428571428572,1.0,1.014232282508379,1.0207674808720832,1.0714285714285714,1.1457438528845245,2.0,2.0,0,0,0,0
soft_log_t2_c10,ssp2-4.5,2040,0.8571428571428572,1.0,1.021978021978022,1.032258064516129,1.125,1.25,2.0,2.0,0,0,0,0
soft_log_t2_c10,ssp2-4.5,2045,0.8571428571428572,1.0,1.0299612966104945,1.0444444444444443,1.1822755667955034,1.3333333333333335,2.0,2.9750073719193084,3,0,0,0
soft_log_t2_c10,ssp2-4.5,2050,0.5,1.0,1.0384615384615385,1.0562258093246302,1.25,1.4999999999999998,2.0,3.843549940934941,4,0,0,0
soft_log_t2_c10,ssp2-4.5,2055,0.40056796968995756,1.0,1.0457668235623228,1.0667699936189847,1.2912607768979787,1.5,2.0,3.843549940934941,5,0,0,1
soft_log_t2_c10,ssp2-4.5,2060,0.3049877694703297,1.0,1.0524597292903837,1.0757743696647812,1.3333333333333333,1.562346738384964,2.0,4.580398416791033,8,0,0,1
soft_log_t2_c10,ssp2-4.5,2065,0.3049877694703297,1.0,1.0585194683104964,1.0839212389538444,1.3925441258397504,2.0,2.0,5.548485116605154,11,2,0,1
soft_log_t2_c10,ssp2-4.5,2070,0.3049877694703297,1.0,1.0653174445695806,1.0927941640149887,1.4811670648482522,2.0,2.205135554900826,6.813362033715651,14,4,0,1
soft_log_t2_c10,ssp2-4.5,2075,0.21832161943252681,1.0,1.0717638332831088,1.102623243695716,1.5,2.0,3.283660730611624,8.98065598164407,19,6,0,1
soft_log_t2_c10,ssp2-4.5,2080,0.21832161943252681,1.0,1.078152513519752,1.1111111111111112,1.5366085107694598,2.0,3.977573016405819,9.659319123685364,26,11,0,1
soft_log_t2_c10,ssp2-4.5,2085,0.21832161943252681,1.0,1.0839487429166619,1.118590291188722,1.6813821246578708,2.0,4.58820182554198,9.848817231361398,33,11,0,1
soft_log_t2_c10,ssp2-4.5,2090,0.21832161943252681,1.0,1.090909090909091,1.1284270868537412,1.8813845294364049,2.0,5.488856778504042,9.913065891269605,36,14,0,1
soft_log_t2_c10,ssp2-4.5,2095,0.21832161943252681,1.0,1.098660015012903,1.138790552614676,2.0,2.0,6.190012283315917,9.939470197523288,41,16,0,1
soft_log_t2_c10,ssp2-4.5,2100,0.21832161943252681,1.0,1.1059329072615522,1.146979698892038,2.0,2.0,6.667192687632482,9.952761222411086,43,16,0,1
soft_log_t2_c10,ssp5-8.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
soft_log_t2_c10,ssp5-8.5,2030,0.40056796968995756,1.0,1.0140217767476518,1.0222197181083206,1.043718873213944,1.0769230769230769,1.5,2.0,0,0,0,1
soft_log_t2_c10,ssp5-8.5,2035,0.21832161943252681,1.0,1.0303030303030303,1.0457025701281704,1.0999999999999999,1.25,2.0,2.0,0,0,0,1
soft_log_t2_c10,ssp5-8.5,2040,0.1467704189285025,1.0,1.048722305077382,1.0714285714285714,1.2311686694516952,1.3333333333333335,2.0,2.222419489980242,3,0,0,1
soft_log_t2_c10,ssp5-8.5,2045,0.1467704189285025,1.0,1.0666666666666667,1.096105876851441,1.3333333333333333,1.5091666666666141,2.0,2.9750073719193084,4,0,0,1
soft_log_t2_c10,ssp5-8.5,2050,0.1467704189285025,1.0,1.0851266067487912,1.1235098297287043,1.3789210390660696,2.0,2.0,3.843549940934941,5,0,0,1
soft_log_t2_c10,ssp5-8.5,2055,0.1467704189285025,1.0,1.1052631578947367,1.1498880452488207,1.5,2.0,2.0,6.813362033715651,11,1,0,1
soft_log_t2_c10,ssp5-8.5,2060,0.1467704189285025,1.0,1.1253281575080591,1.1753465725821493,1.5,2.0,2.123785964741377,8.98065598164407,14,1,0,1
soft_log_t2_c10,ssp5-8.5,2065,0.1467704189285025,1.0,1.1493183022359985,1.2,1.9256357373285882,2.0,2.4964552227528505,9.515294799064222,19,3,0,1
soft_log_t2_c10,ssp5-8.5,2070,0.11902137022358782,1.0001,1.1761420114045913,1.2316195341365446,2.0,2.0,2.5079804841155435,9.722416630367208,27,4,0,1
soft_log_t2_c10,ssp5-8.5,2075,0.11430672207823654,1.0005360016025124,1.2011546488147375,1.2622536669593665,2.0,2.0,2.844110506163138,9.810964954092377,32,5,0,1
soft_log_t2_c10,ssp5-8.5,2080,0.11430672207823654,1.0013268592241675,1.2298884851865601,1.3174603174603174,2.0,2.0,3.275009205378609,9.862620838235156,40,8,0,1
soft_log_t2_c10,ssp5-8.5,2085,0.10993361877745676,1.0028323999630349,1.251872099250832,1.3418806161745827,2.0,2.0,3.850759589123284,9.89560744806275,49,10,0,2
soft_log_t2_c10,ssp5-8.5,2090,0.10993361877745676,1.0053232680934125,1.2871053109568538,1.4248118252249236,2.0,2.0,4.406790047565453,9.916627934387076,58,10,0,2
soft_log_t2_c10,ssp5-8.5,2095,0.10993361877745676,1.007957144175093,1.32783,1.5,2.0,2.2165871012390594,4.722387773764729,9.93108073928922,67,11,0,2
soft_log_t2_c10,ssp5-8.5,2100,0.10993361877745676,1.0124219929652487,1.3501094890510952,1.5,2.0,2.4964552227528505,5.0038753824228905,9.942312578651261,89,12,0,2
soft_log_t3_c5,ssp2-4.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
