cell_id,asset_id,report_date,ticcs_subclass,economic_content_fingerprint,expected_2025_overall_rating,expected_2030_revenue_growth,expected_2030_market_demand_impact,expected_2030_market_demand_rating,surface,source_uri
270231,USA_07669,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_270231_OR_WEIM_SolarPV_transition_risks.xlsx
270334,USA_07772,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_270334_IA_MISO_SolarPV_transition_risks.xlsx
271681,USA_07874,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_271681_OR_WEIM_SolarPV_transition_risks.xlsx
271784,USA_07977,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_271784_IA_MISO_SolarPV_transition_risks.xlsx
273131,USA_08080,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_273131_OR_WEIM_SolarPV_transition_risks.xlsx
273233,USA_08182,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_273233_IA_MISO_SolarPV_transition_risks.xlsx
274583,USA_08285,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_274583_ID_WEIM_SolarPV_transition_risks.xlsx
274686,USA_08388,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_274686_WI_MISO_SolarPV_transition_risks.xlsx
276035,USA_08490,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_276035_ID_WEIM_SolarPV_transition_risks.xlsx
276144,USA_08593,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_276144_MI_MISO_SolarPV_transition_risks.xlsx
277487,USA_08696,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_277487_WY_WEIM_SolarPV_transition_risks.xlsx
277604,USA_08798,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_277604_PA_PJM_SolarPV_transition_risks.xlsx
278933,USA_08901,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_278933_WY_WEIM_SolarPV_transition_risks.xlsx
279047,USA_09004,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_279047_PA_PJM_SolarPV_transition_risks.xlsx
280374,USA_09107,2026-09-17,IC702010,52873a58bb1774e8eb357b9ee2632b02e9d502b9d029bcfc8fff973ae325fc43,F,0.218766,0.64723,D,solar_transition,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_280374_WY_WEIM_SolarPV_transition_risks.xlsx
