method,scenario,horizon,minimum,median,p90,p95,p99,p99_5,p99_9,maximum,above_2,above_5,above_10,below_0_5
baseline_floor_1e-4,ssp2-4.5,2045,0.8977948942712406,1.0000052280265805,1.0259655422502836,1.037762001230008,1.084132334193116,1.1602197615417817,1.344972242118555,2.2825566827530475,2,0,0,0
baseline_floor_1e-4,ssp2-4.5,2050,0.8752979063472568,1.0000084339302995,1.032523845484587,1.047278215199376,1.1067449934131817,1.1983979171979449,1.455759832579096,2.636756240670411,4,0,0,0
baseline_floor_1e-4,ssp2-4.5,2055,0.8544037490640749,1.0000718762630734,1.0387596981936036,1.0562756511091784,1.1343003048194247,1.2361976293279566,1.5825539913388438,2.931859127987188,5,0,0,0
baseline_floor_1e-4,ssp2-4.5,2060,0.8352467890926144,1.000118308564058,1.0450214002098794,1.0647186967204274,1.162349919883296,1.270356024796419,1.706970099223215,3.7803977132920394,7,0,0,0
baseline_floor_1e-4,ssp2-4.5,2065,0.8172096805932172,1.0001831462242243,1.0509502062132605,1.0729357775208763,1.21343087949739,1.3793377578259316,1.9591486806209233,6.674529545556673,12,1,0,0
baseline_floor_1e-4,ssp2-4.5,2070,0.7999336021903098,1.0002534655550144,1.05763865143905,1.0829701840788775,1.2929582237199646,1.516853456284561,2.2638237108515256,11.470398888049367,25,4,1,0
baseline_floor_1e-4,ssp2-4.5,2075,0.7832002225760348,1.0003277086351434,1.0643950937290005,1.0933593047594543,1.35683922444667,1.6945747939183031,3.3080897905405506,18.453728039831077,43,5,3,0
baseline_floor_1e-4,ssp2-4.5,2080,0.7668698087055263,1.0003747832830232,1.0719901164955379,1.1040910540447872,1.4354569415198122,1.8996350208274708,4.594740099318603,27.047119690290998,58,11,3,0
baseline_floor_1e-4,ssp2-4.5,2085,0.750848280886837,1.000402111633437,1.0797287306083616,1.1155328077505533,1.550034305093877,2.220250181840564,6.211947926555218,35.998552910329586,66,23,6,0
baseline_floor_1e-4,ssp2-4.5,2090,0.7350701025507063,1.000401633678707,1.0873493323709682,1.1278651741091905,1.6449030030138616,2.3518540246043926,7.768246801954412,44.75992952901105,77,29,7,0
baseline_floor_1e-4,ssp2-4.5,2095,0.7194881620716433,1.0004085727300942,1.0943566023475655,1.1384755271061884,1.7340644783861394,2.5587784018515976,9.318716735788165,53.64295412225053,86,34,10,0
baseline_floor_1e-4,ssp2-4.5,2100,0.704068444170608,1.000420368742292,1.1003941900513654,1.1478595899880424,1.8148874876311436,2.735416991329778,10.663801447098493,61.35715969006375,94,36,15,0
baseline_floor_1e-4,ssp5-8.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
baseline_floor_1e-4,ssp5-8.5,2030,0.9596374682864468,1.0000129434669003,1.012111871203656,1.0200524987833728,1.0315164331201894,1.040308208562367,1.1021787980628641,2.047472298683666,1,0,0,0
baseline_floor_1e-4,ssp5-8.5,2035,0.9216094920289059,1.0000669435757725,1.0244059915277273,1.040198125006858,1.0631169121229391,1.0853937584443325,1.2370777001998514,3.1174489054767998,2,0,0,0
baseline_floor_1e-4,ssp5-8.5,2040,0.8849605639705427,1.0001227046677175,1.0369031525734276,1.0607626605237384,1.0951851206987946,1.128058540684164,1.3327918396687546,4.40378715081812,2,0,0,0
baseline_floor_1e-4,ssp5-8.5,2045,0.8490068696333497,1.0001913703566379,1.0497901624843808,1.081607068418772,1.12759112594359,1.1845873599740766,1.4183510694260215,5.802650850999072,6,1,0,0
baseline_floor_1e-4,ssp5-8.5,2050,0.8135308924159793,1.0002601720026074,1.0628261185795518,1.1023027432691914,1.1597095818998657,1.2401710935463788,1.585198988318838,6.993531156447763,7,1,0,0
baseline_floor_1e-4,ssp5-8.5,2055,0.7794844287800047,1.0018105099991657,1.0762541154098624,1.1222118034391975,1.1888972058116285,1.31456518508024,1.7618860518821549,8.024734441397158,9,1,0,0
baseline_floor_1e-4,ssp5-8.5,2060,0.7469759555004372,1.0028350225691387,1.0906194653063466,1.14107651230955,1.2193133083760843,1.3874284826556593,1.9866706316353238,9.244048479110079,11,3,0,0
baseline_floor_1e-4,ssp5-8.5,2065,0.7155124648195269,1.0036871597209889,1.113182407224045,1.1632324114212147,1.2520213087284597,1.4589472147238154,2.266861613210786,10.920402732226567,18,4,1,0
baseline_floor_1e-4,ssp5-8.5,2070,0.6848781219520829,1.0048289348293271,1.1359070619762748,1.1913082580017862,1.308392889548726,1.5469859393209169,2.68112205744952,13.310173948469908,24,6,2,0
baseline_floor_1e-4,ssp5-8.5,2075,0.6549215404849382,1.0056623550565145,1.160889116851405,1.2211351268102453,1.404506126872164,1.7038946460305553,3.3096289291735914,16.66591261779002,31,8,2,0
baseline_floor_1e-4,ssp5-8.5,2080,0.6255290165866378,1.0066763056105545,1.1895841035358505,1.2502404238015792,1.50600550338373,1.8949017978545224,4.440052904415385,20.70724214913694,49,11,4,0
baseline_floor_1e-4,ssp5-8.5,2085,0.5966510640985271,1.0078918700037178,1.2188394517960854,1.2782868253285613,1.6131154652527742,2.0708779751439055,6.253414364523657,24.884431893764276,63,15,7,0
baseline_floor_1e-4,ssp5-8.5,2090,0.5682515148833647,1.0087806239347823,1.2465482036500544,1.3080949798241992,1.734021394767197,2.2372479276519313,7.752945957653032,28.759265986653883,73,20,9,0
baseline_floor_1e-4,ssp5-8.5,2095,0.5402939099648351,1.0095982639242431,1.2720253265450534,1.3440522326124673,1.841127131664881,2.436715746478419,9.886855210166269,32.15005158409667,83,24,12,0
baseline_floor_1e-4,ssp5-8.5,2100,0.5127296662063627,1.0104673203714691,1.2970563784646563,1.3842013017908925,1.953447704295292,2.5994069646153832,11.31425030303651,35.094681181875934,104,27,13,0
soft_log_t1_5_c5,ssp2-4.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
soft_log_t1_5_c5,ssp2-4.5,2030,0.8333333333333335,1.0000163314057584,1.0086800276258872,1.0113994728942768,1.0205175028144966,1.0372916371841814,1.081615745668106,4.6180520915778995,1,0,0,0
soft_log_t1_5_c5,ssp2-4.5,2035,0.7121212121212123,1.000073343067229,1.017360055251774,1.0227512302826098,1.0410175868232314,1.0782471703951932,1.1737925309292563,4.881042403743681,1,0,0,0
soft_log_t1_5_c5,ssp2-4.5,2040,0.6146592721037034,1.0001682939971168,1.0261036726954502,1.0342655269157417,1.0621353574531844,1.1237705368889208,1.3037599742460055,4.942968273783974,2,0,0,0
soft_log_t1_5_c5,ssp2-4.5,2045,0.5254749366874802,1.0002802760750864,1.0348402147413593,1.0458687672647469,1.088175872566135,1.1616769439421015,1.385167973811277,4.973382660419387,5,0,0,0
soft_log_t1_5_c5,ssp2-4.5,2050,0.4432831251314435,1.0004299176450666,1.0435502684266997,1.057579104127785,1.1109205486043665,1.200799338253728,1.5161945058724617,4.987615105240363,7,0,0,1
soft_log_t1_5_c5,ssp2-4.5,2055,0.38255319883376365,1.0019551864795178,1.0516621097606371,1.0676517472892508,1.137523921549184,1.2375176018331946,1.651217485039737,4.99389044045507,9,0,0,1
soft_log_t1_5_c5,ssp2-4.5,2060,0.34243312362966755,1.0039627586284046,1.059172987988548,1.0763839500967831,1.1691992215117657,1.2771604384250632,1.834377850800971,4.996503836768121,11,0,0,1
soft_log_t1_5_c5,ssp2-4.5,2065,0.31458199792752384,1.0058053501526776,1.0663580138238307,1.0844948469284765,1.2278304381773666,1.3845473841106473,2.039913825112827,4.997669051707654,14,0,0,1
soft_log_t1_5_c5,ssp2-4.5,2070,0.29444663532142507,1.0074348565936013,1.0735543006561357,1.0936768972904354,1.3048023923694,1.5349475707984523,2.6372129521582863,4.998250488142519,27,0,0,1
soft_log_t1_5_c5,ssp2-4.5,2075,0.2793961442625608,1.008463697732128,1.081708135701343,1.1034232698222466,1.3594550872710498,1.7660478444010514,3.444774261326099,4.99858991021071,45,0,0,1
soft_log_t1_5_c5,ssp2-4.5,2080,0.2678317575451366,1.0092364175951796,1.0897801507733007,1.1138946953044144,1.4656488154716252,2.0646707096047936,3.765111352050758,4.998834543974028,62,0,0,1
soft_log_t1_5_c5,ssp2-4.5,2085,0.25873854253959433,1.0096564152180663,1.0987279828407497,1.1256382062555665,1.5638215203233652,2.2136670470490665,4.197866413368565,4.999054537085513,70,0,0,1
