method,scenario,horizon,baseline_eal_rate,future_eal_rate_limit,cells_exceeding_limit,share_exceeding_limit
baseline_floor_1e-4,ssp2-4.5,2100,0.01,1.0,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.02,0.1,36,0.0030181086519114686
baseline_floor_1e-4,ssp2-4.5,2100,0.02,0.5,3,0.00025150905432595576
baseline_floor_1e-4,ssp2-4.5,2100,0.02,1.0,3,0.00025150905432595576
baseline_floor_1e-4,ssp2-4.5,2100,0.05,0.1,94,0.007880617035546614
baseline_floor_1e-4,ssp2-4.5,2100,0.05,0.5,15,0.0012575452716297787
baseline_floor_1e-4,ssp2-4.5,2100,0.05,1.0,4,0.00033534540576794097
baseline_floor_1e-4,ssp2-4.5,2100,0.1,0.1,7067,0.5924714956405097
baseline_floor_1e-4,ssp2-4.5,2100,0.1,0.5,36,0.0030181086519114686
baseline_floor_1e-4,ssp2-4.5,2100,0.1,1.0,15,0.0012575452716297787
baseline_floor_1e-4,ssp5-8.5,2100,0.001,0.1,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.001,0.5,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.001,1.0,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.005,0.1,3,0.00025150905432595576
baseline_floor_1e-4,ssp5-8.5,2100,0.005,0.5,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.005,1.0,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.01,0.1,13,0.0010898725687458082
baseline_floor_1e-4,ssp5-8.5,2100,0.01,0.5,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.01,1.0,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.02,0.1,27,0.0022635814889336017
baseline_floor_1e-4,ssp5-8.5,2100,0.02,0.5,3,0.00025150905432595576
baseline_floor_1e-4,ssp5-8.5,2100,0.02,1.0,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.05,0.1,104,0.008718980549966466
baseline_floor_1e-4,ssp5-8.5,2100,0.05,0.5,13,0.0010898725687458082
baseline_floor_1e-4,ssp5-8.5,2100,0.05,1.0,3,0.00025150905432595576
baseline_floor_1e-4,ssp5-8.5,2100,0.1,0.1,8365,0.7012910798122066
baseline_floor_1e-4,ssp5-8.5,2100,0.1,0.5,27,0.0022635814889336017
baseline_floor_1e-4,ssp5-8.5,2100,0.1,1.0,13,0.0010898725687458082
soft_log_t1_5_c5,ssp2-4.5,2100,0.001,0.1,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.001,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.001,1.0,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.005,0.1,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.005,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.005,1.0,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.01,0.1,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.01,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.01,1.0,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.02,0.1,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.02,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.02,1.0,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.05,0.1,98,0.008215962441314555
soft_log_t1_5_c5,ssp2-4.5,2100,0.05,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.05,1.0,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.1,0.1,7085,0.5939805499664654
soft_log_t1_5_c5,ssp2-4.5,2100,0.1,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.1,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.001,0.1,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.001,0.5,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.001,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.005,0.1,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.005,0.5,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.005,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.01,0.1,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.01,0.5,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.01,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.02,0.1,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.02,0.5,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.02,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.05,0.1,105,0.008802816901408451
soft_log_t1_5_c5,ssp5-8.5,2100,0.05,0.5,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.05,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.1,0.1,8377,0.7022971160295104
soft_log_t1_5_c5,ssp5-8.5,2100,0.1,0.5,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.1,1.0,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.001,0.1,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.001,0.5,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.001,1.0,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.005,0.1,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.005,0.5,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.005,1.0,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.01,0.1,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.01,0.5,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.01,1.0,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.02,0.1,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.02,0.5,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.02,1.0,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.05,0.1,98,0.008215962441314555
soft_log_t2_c3,ssp2-4.5,2100,0.05,0.5,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.05,1.0,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.1,0.1,7085,0.5939805499664654
soft_log_t2_c3,ssp2-4.5,2100,0.1,0.5,0,0.0
soft_log_t2_c3,ssp2-4.5,2100,0.1,1.0,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.001,0.1,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.001,0.5,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.001,1.0,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.005,0.1,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.005,0.5,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.005,1.0,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.01,0.1,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.01,0.5,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.01,1.0,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.02,0.1,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.02,0.5,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.02,1.0,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.05,0.1,108,0.009054325955734407
soft_log_t2_c3,ssp5-8.5,2100,0.05,0.5,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.05,1.0,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.1,0.1,8377,0.7022971160295104
soft_log_t2_c3,ssp5-8.5,2100,0.1,0.5,0,0.0
soft_log_t2_c3,ssp5-8.5,2100,0.1,1.0,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.001,0.1,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.001,0.5,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.001,1.0,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.005,0.1,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.005,0.5,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.005,1.0,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.01,0.1,0,0.0
soft_log_t2_c5,ssp2-4.5,2100,0.01,0.5,0,0.0
