cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr,source_uri,ssp2-4.5_baseline_available,ssp2-4.5_future_nonnull_count,ssp5-8.5_baseline_available,ssp5-8.5_future_nonnull_count
244376,169,1016,47.75,-106.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244376_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
244378,169,1018,47.75,-105.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244378_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
244380,169,1020,47.75,-105.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244380_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
244385,169,1025,47.75,-103.75,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_244385_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
245796,170,996,47.5,-111.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_245796_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
245814,170,1014,47.5,-106.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_245814_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
245816,170,1016,47.5,-106.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_245816_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
245818,170,1018,47.5,-105.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_245818_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
245819,170,1019,47.5,-105.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_245819_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
245831,170,1031,47.5,-102.25,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_245831_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
245863,170,1063,47.5,-94.25,MN,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_245863_MN_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
247190,171,950,47.25,-122.5,WA,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247190_WA_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
247245,171,1005,47.25,-108.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247245_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
247250,171,1010,47.25,-107.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247250_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
247251,171,1011,47.25,-107.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247251_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
247252,171,1012,47.25,-107.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247252_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
247253,171,1013,47.25,-106.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247253_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
247255,171,1015,47.25,-106.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247255_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
247256,171,1016,47.25,-106.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247256_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
247257,171,1017,47.25,-105.75,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247257_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
247263,171,1023,47.25,-104.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247263_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
247264,171,1024,47.25,-104.0,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247264_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
247269,171,1029,47.25,-102.75,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_247269_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
