cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr
271731,188,1011,43.0,-107.25,WY
271732,188,1012,43.0,-107.0,WY
271733,188,1013,43.0,-106.75,WY
271735,188,1015,43.0,-106.25,WY
271736,188,1016,43.0,-106.0,WY
271737,188,1017,43.0,-105.75,WY
271738,188,1018,43.0,-105.5,WY
271739,188,1019,43.0,-105.25,WY
271741,188,1021,43.0,-104.75,WY
271762,188,1042,43.0,-99.5,SD
271808,188,1088,43.0,-88.0,WI
271824,188,1104,43.0,-84.0,MI
271865,188,1145,43.0,-73.75,NY
273122,189,962,42.75,-119.5,OR
273127,189,967,42.75,-118.25,OR
273129,189,969,42.75,-117.75,OR
273130,189,970,42.75,-117.5,OR
273139,189,979,42.75,-115.25,ID
273140,189,980,42.75,-115.0,ID
273143,189,983,42.75,-114.25,ID
273167,189,1007,42.75,-108.25,WY
273168,189,1008,42.75,-108.0,WY
273169,189,1009,42.75,-107.75,WY
273173,189,1013,42.75,-106.75,WY
273194,189,1034,42.75,-101.5,NE
273196,189,1036,42.75,-101.0,NE
273293,189,1133,42.75,-76.75,NY
274562,190,962,42.5,-119.5,OR
274563,190,963,42.5,-119.25,OR
274564,190,964,42.5,-119.0,OR
274568,190,968,42.5,-118.0,OR
274569,190,969,42.5,-117.75,OR
274570,190,970,42.5,-117.5,OR
274571,190,971,42.5,-117.25,OR
274574,190,974,42.5,-116.5,ID
274575,190,975,42.5,-116.25,ID
274579,190,979,42.5,-115.25,ID
274580,190,980,42.5,-115.0,ID
274601,190,1001,42.5,-109.75,WY
274602,190,1002,42.5,-109.5,WY
274609,190,1009,42.5,-107.75,WY
274610,190,1010,42.5,-107.5,WY
274611,190,1011,42.5,-107.25,WY
274624,190,1024,42.5,-104.0,NE
274625,190,1025,42.5,-103.75,NE
274631,190,1031,42.5,-102.25,NE
274632,190,1032,42.5,-102.0,NE
274633,190,1033,42.5,-101.75,NE
274635,190,1035,42.5,-101.25,NE
274636,190,1036,42.5,-101.0,NE
274645,190,1045,42.5,-98.75,NE
274646,190,1046,42.5,-98.5,NE
