scenario,horizon,years_from_2025,n,minimum,p01,p05,p10,p25,median,p75,p90,p95,p99,maximum,below_1x,equal_1x,above_1x,above_1_1x,above_1_25x,above_1_5x,above_2x
ssp5-8.5,2050,25,11928,0.11538461538461538,0.9725475793795764,1.0,1.0,1.0,1.0091343903626582,1.0439549222473081,1.0940461246339588,1.113375706293134,1.1605483414738444,6.993531156447763,512,4427,6989,988,62,20,11
ssp5-8.5,2055,30,11928,0.0967741935483871,0.9675300093536471,1.0,1.0,1.0,1.015810513988892,1.0538783143538502,1.1131665282239898,1.1350526583456815,1.1927487901666354,8.024734441397158,465,3363,8100,1450,77,30,14
ssp5-8.5,2060,35,11928,0.08333333333333333,0.9620567860831041,1.0,1.0,1.0,1.027911716314023,1.0653968170622867,1.1307438733837245,1.1554984450620545,1.2220701272433447,10.16224261334468,445,3323,8160,1774,96,42,16
ssp5-8.5,2065,40,11928,0.07317073170731707,0.9561395147713305,1.0,1.0,1.0,1.033377681750693,1.0807492003366042,1.1503068697185708,1.1752921891426387,1.266418561799785,14.67537592283738,437,3278,8213,2309,131,60,23
ssp5-8.5,2070,45,11928,0.06521739130434782,0.9516904835456304,1.0,1.0,1.0,1.0375129088282335,1.1007002761180065,1.173248566942848,1.204679827890688,1.3236057998792723,43.321470413835144,429,3255,8244,3017,234,74,30
ssp5-8.5,2075,50,11928,0.05882352941176471,0.9463435476558106,1.0,1.0,1.0,1.0415105882750928,1.1243651931401781,1.1977909003315441,1.2349386186081464,1.4204884706861145,130.0965695332452,426,3225,8277,3661,439,100,39
ssp5-8.5,2080,55,11928,0.05357142857142856,0.9411065736592893,1.0,1.0,1.0,1.0449743539452843,1.146658856640744,1.2232624800624237,1.269212176539771,1.5218052159286906,300.80654700689666,421,3211,8296,4001,786,134,54
ssp5-8.5,2085,60,11928,0.04918032786885246,0.9364560758237385,1.0,1.0,1.0,1.04845738827047,1.1670591275860456,1.2505650064254943,1.3055967227930472,1.6270642603574408,569.8039180401854,416,3192,8320,4220,1199,206,69
ssp5-8.5,2090,65,11928,0.045454545454545456,0.9314573409633968,1.0,1.0,1.0,1.0512386396786484,1.1875395156452064,1.2816756286160347,1.3500974931357381,1.7398298924350568,917.8538090088882,415,3158,8355,4426,1833,299,81
ssp5-8.5,2095,70,11928,0.04225352112676056,0.9262064008471167,1.0,1.0,1.0,1.0536752785613956,1.2064333845470616,1.3148434351354903,1.39658940078164,1.8577843422082378,1259.7323288821856,414,3158,8356,4606,2243,401,87
